drug_normalized,drug_raw,molecule_chembl_id,target_chembl_id,mechanism_of_action
10 x 10^6 cells,10 x 10^6 cells,CHEMBL39541,CHEMBL2095182,Tubulin inhibitor
2.25 mm xience v® everolimus eluting coronary stent system,2.25 mm XIENCE V® Everolimus Eluting Coronary Stent System,CHEMBL1908360,CHEMBL1902,FK506-binding protein 1A inhibitor
alirocumab,Alirocumab,CHEMBL2109540,CHEMBL2929,Subtilisin/kexin type 9 inhibitor
alirocumab 150 mg/ml subcutaneous injection,Alirocumab 150 MG/ML subcutaneous injection,CHEMBL2109540,CHEMBL2929,Subtilisin/kexin type 9 inhibitor
angiotensin 1-7,Angiotensin 1-7,CHEMBL3545347,CHEMBL3559701,Proto-oncogene Mas agonist
aspirin,Aspirin,CHEMBL25,CHEMBL2094253,Cyclooxygenase inhibitor
aspirin + ticagrelor,Aspirin + Ticagrelor,CHEMBL398435,CHEMBL2001,Purinergic receptor P2Y12 negative allosteric modulator
aspirin 25 mg bid,Aspirin 25 mg bid,CHEMBL25,CHEMBL2094253,Cyclooxygenase inhibitor
aspirin tablet,Aspirin tablet,CHEMBL25,CHEMBL2094253,Cyclooxygenase inhibitor
atenolol,Atenolol,CHEMBL24,CHEMBL213,Beta-1 adrenergic receptor antagonist
axys ex device,Axys EX device,CHEMBL382277,CHEMBL4506,NAD-dependent deacetylase sirtuin 1 inhibitor
bms-823778,BMS-823778,CHEMBL4297457,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1 inhibitor
biktarvy,Biktarvy,CHEMBL3989867,CHEMBL3471,Human immunodeficiency virus type 1 integrase inhibitor
bupivacaine liposome,Bupivacaine liposome,CHEMBL1098,CHEMBL2072,Sodium channel protein type IV alpha subunit blocker
canakinumab (acz885),Canakinumab (ACZ885),CHEMBL1201834,CHEMBL1909490,Interleukin-1 beta inhibitor
cangrelor,Cangrelor,CHEMBL334966,CHEMBL2001,Purinergic receptor P2Y12 inhibitor
cardiac rehabilitation,Cardiac Rehabilitation,CHEMBL4297517,CHEMBL3831286,Cardiac myosin inhibitor
cellgram-cli,Cellgram-CLI,CHEMBL225157,CHEMBL5255,Toll-like receptor 4 inhibitor
cholecalciferol,Cholecalciferol,CHEMBL1042,CHEMBL1977,Vitamin D receptor agonist
cilostazol,Cilostazol,CHEMBL799,CHEMBL241,Phosphodiesterase 3A inhibitor
cilostazol 100 mg,Cilostazol 100 mg,CHEMBL799,CHEMBL241,Phosphodiesterase 3A inhibitor
