ensembl_gene_id,reactome_stid,reactome_name
ENSG00000173198,R-HSA-391906,Leukotriene receptors
ENSG00000173198,R-HSA-416476,G alpha (q) signalling events
ENSG00000173198,R-HSA-9664535,LTC4-CYSLTR mediated IL4 production
ENSG00000173198,R-HSA-9679191,Potential therapeutics for SARS
ENSG00000138735,R-HSA-418457,cGMP effects
ENSG00000138735,R-HSA-445355,Smooth Muscle Contraction
ENSG00000138735,R-HSA-9013422,RHOBTB1 GTPase cycle
ENSG00000088832,R-HSA-166208,mTORC1-mediated signalling
ENSG00000088832,R-HSA-2025928,Calcineurin activates NFAT
ENSG00000088832,R-HSA-2173789,TGF-beta receptor signaling activates SMADs
ENSG00000088832,R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
ENSG00000088832,R-HSA-3656535,TGFBR1 LBD Mutants in Cancer
ENSG00000088832,R-HSA-9679191,Potential therapeutics for SARS
ENSG00000088832,R-HSA-9692916,SARS-CoV-1 activates/modulates innate immune responses
ENSG00000125538,R-HSA-448706,Interleukin-1 processing
ENSG00000125538,R-HSA-5620971,Pyroptosis
ENSG00000125538,R-HSA-5660668,CLEC7A/inflammasome pathway
ENSG00000125538,R-HSA-6783783,Interleukin-10 signaling
ENSG00000125538,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
ENSG00000125538,R-HSA-9020702,Interleukin-1 signaling
ENSG00000125538,R-HSA-9660826,Purinergic signaling in leishmaniasis infection
ENSG00000125538,R-HSA-9960519,CASP4-mediated substrate cleavage
ENSG00000125538,R-HSA-9960525,CASP5-mediated substrate cleavage
ENSG00000117601,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation
ENSG00000117601,R-HSA-140875,Common Pathway of Fibrin Clot Formation
ENSG00000117601,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
ENSG00000117601,R-HSA-8957275,Post-translational protein phosphorylation
ENSG00000111424,R-HSA-196791,Vitamin D (calciferol) metabolism
ENSG00000111424,R-HSA-383280,Nuclear Receptor transcription pathway
ENSG00000111424,R-HSA-4090294,SUMOylation of intracellular receptors
ENSG00000183873,R-HSA-445095,Interaction between L1 and Ankyrins
ENSG00000183873,R-HSA-5576892,Phase 0 - rapid depolarisation
ENSG00000151623,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000151623,R-HSA-383280,Nuclear Receptor transcription pathway
ENSG00000151623,R-HSA-4090294,SUMOylation of intracellular receptors
ENSG00000160013,R-HSA-391908,Prostanoid ligand receptors
ENSG00000160013,R-HSA-392851,Prostacyclin signalling through prostacyclin receptor
ENSG00000160013,R-HSA-418555,G alpha (s) signalling events
ENSG00000112759,R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane
ENSG00000112759,R-HSA-9748787,Azathioprine ADME
ENSG00000112759,R-HSA-9755088,Ribavirin ADME
ENSG00000169313,R-HSA-392170,ADP signalling through P2Y purinoceptor 12
ENSG00000169313,R-HSA-417957,P2Y receptors
ENSG00000169313,R-HSA-418594,G alpha (i) signalling events
ENSG00000015520,R-HSA-8963678,Intestinal lipid absorption
ENSG00000113580,R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000113580,R-HSA-383280,Nuclear Receptor transcription pathway
ENSG00000113580,R-HSA-4090294,SUMOylation of intracellular receptors
ENSG00000113580,R-HSA-8849473,PTK6 Expression
ENSG00000113580,R-HSA-8939902,Regulation of RUNX2 expression and activity
ENSG00000113580,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
ENSG00000113580,R-HSA-9679191,Potential therapeutics for SARS
ENSG00000113580,R-HSA-9768777,Regulation of NPAS4 gene transcription
ENSG00000007314,R-HSA-445095,Interaction between L1 and Ankyrins
ENSG00000007314,R-HSA-5576892,Phase 0 - rapid depolarisation
ENSG00000022355,R-HSA-1236394,Signaling by ERBB4
ENSG00000145864,R-HSA-1236394,Signaling by ERBB4
ENSG00000113327,R-HSA-1236394,Signaling by ERBB4
ENSG00000166206,R-HSA-1236394,Signaling by ERBB4
ENSG00000109158,R-HSA-1236394,Signaling by ERBB4
ENSG00000182256,R-HSA-1236394,Signaling by ERBB4
ENSG00000268089,R-HSA-1236394,Signaling by ERBB4
ENSG00000011677,R-HSA-1236394,Signaling by ERBB4
ENSG00000094755,R-HSA-1236394,Signaling by ERBB4
ENSG00000187730,R-HSA-1236394,Signaling by ERBB4
ENSG00000163285,R-HSA-1236394,Signaling by ERBB4
ENSG00000163288,R-HSA-1236394,Signaling by ERBB4
ENSG00000102287,R-HSA-1236394,Signaling by ERBB4
ENSG00000151834,R-HSA-1236394,Signaling by ERBB4
ENSG00000186297,R-HSA-1236394,Signaling by ERBB4
ENSG00000145863,R-HSA-1236394,Signaling by ERBB4
ENSG00000022355,R-HSA-977443,GABA receptor activation
ENSG00000145864,R-HSA-977443,GABA receptor activation
ENSG00000113327,R-HSA-977443,GABA receptor activation
ENSG00000166206,R-HSA-977443,GABA receptor activation
ENSG00000109158,R-HSA-977443,GABA receptor activation
ENSG00000182256,R-HSA-977443,GABA receptor activation
ENSG00000268089,R-HSA-977443,GABA receptor activation
ENSG00000011677,R-HSA-977443,GABA receptor activation
ENSG00000094755,R-HSA-977443,GABA receptor activation
ENSG00000187730,R-HSA-977443,GABA receptor activation
ENSG00000163285,R-HSA-977443,GABA receptor activation
ENSG00000163288,R-HSA-977443,GABA receptor activation
ENSG00000102287,R-HSA-977443,GABA receptor activation
ENSG00000151834,R-HSA-977443,GABA receptor activation
ENSG00000186297,R-HSA-977443,GABA receptor activation
ENSG00000145863,R-HSA-977443,GABA receptor activation
ENSG00000073756,R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives
ENSG00000095303,R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives
