targetId,diseaseId,diseaseName,score
ENSG00000006116,EFO_0000319,cardiovascular disease,0.4619748183558772
ENSG00000006116,EFO_1001892,generalized anxiety disorder,0.38837333133503027
ENSG00000006116,HP_0000103,Polyuria,0.3695798546847018
ENSG00000006116,HP_0000020,Urinary incontinence,0.3695798546847018
ENSG00000006116,EFO_0010282,gastrointestinal disease,0.3695798546847018
ENSG00000006116,HP_0001948,Alkalosis,0.30889715263104084
ENSG00000006116,HP_0000924,Abnormality of the skeletal system,0.30052447144553207
ENSG00000006116,EFO_0010673,cardiac transplant,0.29041460887424186
ENSG00000006116,EFO_0000729,ulcerative colitis,0.2870671753335294
ENSG00000006116,EFO_0005558,hemolytic anemia,0.2857795771953058
ENSG00000006116,HP_0000739,Anxiety,0.2689617392467917
ENSG00000006116,EFO_0003870,brain aneurysm,0.23777539147262375
ENSG00000006116,HP_0002970,Genu varum,0.13285312731655985
ENSG00000006116,HP_0002857,Genu valgum,0.13285312731655985
ENSG00000006116,EFO_0004698,insomnia,0.10291772342261485
ENSG00000006116,EFO_0004875,mathematical ability,0.09673601234355525
ENSG00000006116,EFO_0005543,glioma,0.07428555079162505
ENSG00000006116,MONDO_0859149,hypertriglyceridemia 2,0.06511257879835076
ENSG00000006116,EFO_0003839,retinopathy,0.06447520296336062
ENSG00000006116,MONDO_0004579,retinoschisis,0.06447520296336062
ENSG00000006116,EFO_0004911,familial hypercholesterolemia,0.06174385842289971
ENSG00000006116,MONDO_0030839,"thyroid hormone metabolism, abnormal, 2",0.05248033936522765
ENSG00000006116,MONDO_0009942,pyknoachondrogenesis,0.051075935917425784
ENSG00000006116,MONDO_0008863,sitosterolemia,0.049035855119566235
ENSG00000006116,MONDO_0020748,sitosterolemia 2,0.049035855119566235
ENSG00000006116,Orphanet_79211,Combined hyperlipidemia,0.04834104499275899
ENSG00000006116,MONDO_0018328,homozygous familial hypercholesterolemia,0.0472249138316112
ENSG00000006116,EFO_0000326,central nervous system cancer,0.04683315918564542
ENSG00000006116,MONDO_0011369,"hypercholesterolemia, autosomal dominant, 3",0.04074987477753522
ENSG00000006116,MONDO_0013700,pancreatic triacylglycerol lipase deficiency,0.04070552519497306
ENSG00000006116,MONDO_0013533,hyperlipidemia due to hepatic triglyceride lipase deficiency,0.039692876393136976
ENSG00000006116,EFO_0009003,ovarian dysfunction,0.03938023995206587
ENSG00000006116,MONDO_0007751,"hypercholesterolemia, autosomal dominant, type B",0.03898328307214235
ENSG00000006116,EFO_0003854,postmenopausal osteoporosis,0.037918893090650406
ENSG00000006116,HP_0000939,Osteoporosis,0.037918893090650406
ENSG00000006116,EFO_0003882,osteoporosis,0.037918893090650406
ENSG00000006116,EFO_0003102,osteomyelitis,0.03745864841209166
ENSG00000006116,MONDO_0007970,melorheostosis,0.03709842581325037
ENSG00000006116,HP_0000083,Renal insufficiency,0.03695798546847018
ENSG00000006116,EFO_0004260,bone disease,0.03440079956212499
ENSG00000006116,Orphanet_411,Hyperlipoproteinemia type 1,0.03411961218449167
ENSG00000006116,MONDO_0008810,familial apolipoprotein C-II deficiency,0.03411961218449167
ENSG00000006116,MONDO_0008151,gnathodiaphyseal dysplasia,0.03381655670365022
ENSG00000006116,EFO_0000519,glioblastoma multiforme,0.033453211482177544
ENSG00000006116,EFO_0000616,neoplasm,0.032132915143419906
ENSG00000006116,MONDO_0017324,autosomal recessive hypophosphatemic rickets,0.03161386076972939
ENSG00000006116,EFO_0005670,smoking initiation,0.031218085063420917
ENSG00000006116,MONDO_0009294,glycogen storage disease VI,0.030793393492329357
ENSG00000006116,EFO_0003888,attention deficit hyperactivity disorder,0.02923217227706387
ENSG00000006116,EFO_0003898,ankylosing spondylitis,0.02865646296418076
ENSG00000006116,EFO_1002008,atypical teratoid rhabdoid tumor,0.028438095998957365
ENSG00000006116,EFO_1000028,ependymoma,0.028375447369164808
ENSG00000006116,EFO_0004337,intelligence,0.028352311534189302
ENSG00000006116,EFO_0000272,astrocytoma,0.026706415084210906
ENSG00000006116,EFO_0004319,smoking cessation,0.024543307140116637
ENSG00000006116,HP_0002094,Dyspnea,0.02410244070847361
ENSG00000006116,MONDO_0002491,substance abuse,0.023299502009690803
ENSG00000006116,EFO_0000305,breast carcinoma,0.022876901421245086
ENSG00000006116,EFO_0000632,oligodendroglioma,0.020696918054109198
ENSG00000006116,EFO_0003756,autism spectrum disorder,0.020034882522645243
ENSG00000006116,EFO_0000341,chronic obstructive pulmonary disease,0.018629329085438105
ENSG00000006116,EFO_0002939,medulloblastoma,0.014672307734796476
ENSG00000006116,EFO_0008495,childhood supratentorial ependymoma,0.012654784847107243
ENSG00000006116,MONDO_0004975,Alzheimer disease,0.01018031668763804
ENSG00000006116,EFO_0001365,age-related macular degeneration,0.009609076221802246
ENSG00000006116,EFO_0005235,primitive neuroectodermal tumor,0.009480304865999455
ENSG00000006116,EFO_0000555,irritable bowel syndrome,0.0073915970936940375
ENSG00000006116,EFO_0001064,Down syndrome,0.005871008422549534
ENSG00000006116,MONDO_0004992,cancer,0.005769552175911177
ENSG00000006116,EFO_0000474,epilepsy,0.004434958256216422
ENSG00000006116,MONDO_0010383,fragile X syndrome,0.0036957985468470188
ENSG00000006116,EFO_1001961,intrahepatic cholangiocarcinoma,0.0036957985468470188
ENSG00000006116,EFO_0000618,nervous system disease,0.0029566388374776143
ENSG00000006116,MONDO_0010826,childhood absence epilepsy,0.0018478992734235094
ENSG00000006116,EFO_0003096,Pick disease,0.0017441149083457122
ENSG00000006116,MONDO_0018177,glioblastoma,0.0014783194187388072
ENSG00000006116,MONDO_0100342,malignant glioma,0.0014783194187388072
ENSG00000006283,EFO_0009059,Spinocerebellar ataxia type 42,0.7770101107386763
ENSG00000006283,MONDO_0060758,"spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits",0.7313971952782459
ENSG00000006283,EFO_0000474,epilepsy,0.6187307994896096
ENSG00000006283,EFO_0000319,cardiovascular disease,0.5042403811819027
ENSG00000006283,HP_0001250,Seizure,0.4346259091092093
ENSG00000006283,EFO_0000508,genetic disorder,0.41566294636027196
ENSG00000006283,EFO_1001892,generalized anxiety disorder,0.38837333133503027
ENSG00000006283,EFO_0005548,developmental disorder of mental health,0.3714277539581253
ENSG00000006283,EFO_0010282,gastrointestinal disease,0.37050380432141355
ENSG00000006283,HP_0000103,Polyuria,0.3695798546847018
ENSG00000006283,MONDO_0019502,autosomal recessive non-syndromic intellectual disability,0.3695798546847018
ENSG00000006283,HP_0000020,Urinary incontinence,0.3695798546847018
ENSG00000006283,MONDO_0017845,spastic ataxia,0.3326218692162316
ENSG00000006283,HP_0012759,Neurodevelopmental abnormality,0.3326218692162316
ENSG00000006283,HP_0000739,Anxiety,0.28359864140836705
ENSG00000006283,EFO_0000555,irritable bowel syndrome,0.27718489101352634
ENSG00000006283,MONDO_0010826,childhood absence epilepsy,0.27111269400105664
ENSG00000006283,HP_0012758,Neurodevelopmental delay,0.26609749537298527
ENSG00000006283,EFO_0005772,neurodegenerative disease,0.21233150228751344
ENSG00000006283,MONDO_0000437,cerebellar ataxia,0.16406160751013063
ENSG00000006283,HP_0001249,Intellectual disability,0.1496099289581264
ENSG00000006283,MONDO_0005090,schizophrenia,0.134947211843902
ENSG00000006283,MONDO_0100310,hereditary cerebellar ataxia,0.12011345277252809
ENSG00000006283,EFO_0003108,essential tremor,0.11117136552736098
ENSG00000006283,EFO_0004698,insomnia,0.10291772342261485
ENSG00000006283,Orphanet_101016,Romano-Ward syndrome,0.09510523310089708
ENSG00000006283,Orphanet_871,Familial progressive cardiac conduction defect,0.09439923834078029
ENSG00000006283,EFO_0005762,neuropathic pain,0.09313412338054484
ENSG00000006283,MONDO_0018054,familial atrial fibrillation,0.08788448587809705
ENSG00000006283,Orphanet_1766,Dysequilibrium syndrome,0.08369249352479317
ENSG00000006283,Orphanet_183518,Rare hereditary ataxia,0.08369249352479317
ENSG00000006283,EFO_0001421,liver disease,0.08295320330574396
ENSG00000006283,Orphanet_247,Arrhythmogenic right ventricular dysplasia,0.08287894417887713
ENSG00000006283,Orphanet_51083,Familial short QT syndrome,0.0828709934770214
ENSG00000006283,MONDO_0015263,Brugada syndrome,0.08084578416187012
ENSG00000006283,EFO_0004212,Keloid,0.07940429905576431
ENSG00000006283,EFO_0000538,hypertrophic cardiomyopathy,0.07939070670347208
ENSG00000006283,Orphanet_99739,Rare familial disorder with hypertrophic cardiomyopathy,0.0786574661705852
ENSG00000006283,EFO_0009057,Spinocerebellar ataxia type 40,0.07693910129671858
ENSG00000006283,MONDO_0018899,posterior cortical atrophy,0.07629770777824176
ENSG00000006283,EFO_0009058,Spinocerebellar ataxia type 41,0.07623159404868152
ENSG00000006283,MONDO_0011694,spinocerebellar ataxia type 15/16,0.07604090726943552
ENSG00000006283,MONDO_0017990,catecholaminergic polymorphic ventricular tachycardia,0.07546307327307883
ENSG00000006283,EFO_0000275,atrial fibrillation,0.07537088363154913
ENSG00000006283,EFO_0004278,sudden cardiac arrest,0.07535918026948411
ENSG00000006283,EFO_0005917,generalised epilepsy,0.07496042003205065
ENSG00000006283,EFO_0000403,diffuse large B-cell lymphoma,0.07483992057365212
ENSG00000006283,MONDO_0013485,spinocerebellar ataxia type 35,0.07463490641537288
ENSG00000006283,EFO_0000407,dilated cardiomyopathy,0.07406332037178173
ENSG00000006283,EFO_0008579,risk-taking behaviour,0.07397845087055045
ENSG00000006283,EFO_1001998,complex regional pain syndrome,0.07391597093694036
ENSG00000006283,MONDO_0015643,photosensitive epilepsy,0.07391597093694036
ENSG00000006283,EFO_0000195,metabolic syndrome,0.07391597093694036
ENSG00000006283,Orphanet_284289,Adult-onset autosomal recessive cerebellar ataxia,0.07371533989656845
ENSG00000006283,MONDO_0012449,spinocerebellar ataxia type 23,0.07329204622626166
ENSG00000006283,Orphanet_36387,Generalized epilepsy with febrile seizures-plus,0.07314290735657909
ENSG00000006283,Orphanet_284324,Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia,0.07086176427490032
ENSG00000006283,MONDO_0012166,autosomal dominant sensory ataxia 1,0.07085030604233075
ENSG00000006283,MONDO_0013241,spinocerebellar ataxia type 30,0.07077592809657544
ENSG00000006283,Orphanet_94145,Autosomal dominant cerebellar ataxia type 1,0.07050895798210113
ENSG00000006283,MONDO_0011950,infantile-onset autosomal recessive nonprogressive cerebellar ataxia,0.06991449905194788
ENSG00000006283,MONDO_0014410,spinocerebellar ataxia type 37,0.06989354592740867
ENSG00000006283,EFO_0000616,neoplasm,0.0695319206362047
ENSG00000006283,Orphanet_228354,CLN8 disease,0.06911143282603924
ENSG00000006283,MONDO_0010830,neuronal ceroid lipofuscinosis 8,0.06911143282603924
ENSG00000006283,MONDO_0010848,spinocerebellar ataxia type 5,0.06893239191865864
ENSG00000006283,MONDO_0100352,episodic kinesigenic dyskinesia 1,0.06872891767644056
ENSG00000006283,Orphanet_98261,Progressive myoclonic epilepsy,0.06853907887763894
ENSG00000006283,EFO_0003888,attention deficit hyperactivity disorder,0.06848684287162209
ENSG00000006283,MONDO_0012476,hereditary spastic paraplegia 30,0.06809991329598135
ENSG00000006283,Orphanet_101010,Autosomal recessive spastic paraplegia type 30,0.06809991329598135
ENSG00000006283,MONDO_0010898,autosomal dominant epilepsy with auditory features,0.06809775741349569
ENSG00000006283,MONDO_0007296,spinocerebellar ataxia type 31,0.06637069022033992
ENSG00000006283,MONDO_0013960,sinoatrial node dysfunction and deafness,0.065807388925158
ENSG00000006283,EFO_0005670,smoking initiation,0.0657408591635412
ENSG00000006283,EFO_1001497,cardiac conduction defect,0.06569651496875259
ENSG00000006283,Orphanet_1344,Atrial stand still,0.06545279758680218
ENSG00000006283,EFO_0009056,Spinocerebellar ataxia type 38,0.06544030168127102
