nctId,drug_normalized,overallStatus,whyStopped,is_safety_stop,is_efficacy_stop
NCT03606642,dual antiplatelet (dapt) therapy,TERMINATED,"The DSMC March 16, 2022 reviewed of Interim Analysis and recommendation due to no glaring outcomes found to date.",0,0
NCT02953496,vonapanitase,WITHDRAWN,Change in operating plans,0,0
NCT01559974,matching placebo,TERMINATED,Insufficient recruitment,0,0
NCT01559974,cholecalciferol,TERMINATED,Insufficient recruitment,0,0
NCT03240068,angiotensin 1-7,TERMINATED,Study funding ended prior to completion.,0,0
NCT03240068,saline,TERMINATED,Study funding ended prior to completion.,0,0
NCT04059536,acetylsalicylic acid,WITHDRAWN,Sponsor decision,0,0
NCT04059536,heparin,WITHDRAWN,Sponsor decision,0,0
NCT00311311,tacrolimus,TERMINATED,See termination reason in detailed description.,0,0
NCT00311311,mycophenolate mofetil,TERMINATED,See termination reason in detailed description.,0,0
NCT00311311,prednisone,TERMINATED,See termination reason in detailed description.,0,0
NCT00311311,sirolimus,TERMINATED,See termination reason in detailed description.,0,0
NCT01731990,canakinumab (acz885),TERMINATED,The study got terminated based on result from primary endpoint analysis,0,0
NCT01731990,matching placebo,TERMINATED,The study got terminated based on result from primary endpoint analysis,0,0
NCT02144610,hgf plasmid (amg0001),TERMINATED,,0,0
NCT02144610,matching placebo,TERMINATED,,0,0
NCT00491751,atorvastatin,TERMINATED,Insufficient enrollment,0,0
NCT00491751,vitamin c,TERMINATED,Insufficient enrollment,0,0
NCT00491751,matching placebo,TERMINATED,Insufficient enrollment,0,0
NCT02433587,acetylsalicylic acid,WITHDRAWN,Never recruited any patients.,0,0
NCT02433587,clopidogrel,WITHDRAWN,Never recruited any patients.,0,0
NCT02399852,lomitapide,WITHDRAWN,,0,0
NCT02374957,cilostazol,TERMINATED,Original PI left institution,0,0
NCT03247972,evolocumab,TERMINATED,Research group transferred to another hospital,0,0
NCT01030328,matching placebo,WITHDRAWN,Lack of patient population,0,0
NCT01030328,trilipix,WITHDRAWN,Lack of patient population,0,0
NCT02230527,aspirin + ticagrelor,TERMINATED,Lack of enrollment,0,0
NCT02230527,clopidogrel,TERMINATED,Lack of enrollment,0,0
