drug_normalized,diseaseId,diseaseName,mechanism_score,safety_penalty,trial_penalty,phenotype_boost,final_score
10 x 10^6 cells,EFO_0000616,neoplasm,8.344301499066509,0.0,0.0,0,8.3443
10 x 10^6 cells,MONDO_0012703,lissencephaly due to TUBA1A mutation,8.288154731377205,0.0,0.0,0,8.2882
10 x 10^6 cells,Orphanet_300573,Polymicrogyria due to TUBB2B mutation,8.283598225638386,0.0,0.0,0,8.2836
10 x 10^6 cells,MONDO_0007254,breast cancer,8.202302978684605,0.0,0.0,0,8.2023
10 x 10^6 cells,MONDO_0012399,complex cortical dysplasia with other brain malformations 7,8.187787001463917,0.0,0.0,0,8.1878
10 x 10^6 cells,EFO_0003060,non-small cell lung carcinoma,8.124676882473253,0.0,0.0,0,8.1247
10 x 10^6 cells,MONDO_0014421,glucocorticoid resistance,8.119302224664306,0.0,0.0,0,8.1193
10 x 10^6 cells,MONDO_0008315,prostate cancer,8.095747851454894,0.0,0.0,0,8.0957
10 x 10^6 cells,MONDO_0010912,"fibrosis of extraocular muscles, congenital, 3A, with or without extraocular involvement",8.067329307927917,0.0,0.0,0,8.0673
10 x 10^6 cells,Orphanet_183506,Genetic central nervous system malformation,8.052600960724,0.0,0.0,0,8.0526
10 x 10^6 cells,MONDO_0004976,amyotrophic lateral sclerosis,8.021892564610788,0.0,0.0,0,8.0219
10 x 10^6 cells,MONDO_0004992,cancer,7.957621776363707,0.0,0.0,0,7.9576
10 x 10^6 cells,EFO_0000341,chronic obstructive pulmonary disease,7.95499335216053,0.0,0.0,0,7.955
10 x 10^6 cells,EFO_0000565,leukemia,7.936310356441922,0.0,0.0,0,7.9363
10 x 10^6 cells,EFO_0000574,lymphoma,7.906646894686174,0.0,0.0,0,7.9066
10 x 10^6 cells,EFO_1001985,congenital fibrosis of the extraocular muscles,7.862852176168641,0.0,0.0,0,7.8629
10 x 10^6 cells,MONDO_0015372,autosomal dominant macrothrombocytopenia,7.850278501511964,0.0,0.0,0,7.8503
10 x 10^6 cells,MONDO_0100153,tubulinopathy,7.835587782613472,0.0,0.0,0,7.8356
10 x 10^6 cells,MONDO_0008329,autosomal dominant pseudohypoaldosteronism type 1,7.807540079962438,0.0,0.0,0,7.8075
10 x 10^6 cells,EFO_0000537,hypertension,7.786130062036715,0.0,0.0,0,7.7861
10 x 10^6 cells,MONDO_0012905,hypomyelinating leukodystrophy 6,7.762627164934834,0.0,0.0,0,7.7626
10 x 10^6 cells,EFO_0003869,breast neoplasm,7.699421676099922,0.0,0.0,0,7.6994
10 x 10^6 cells,EFO_0000305,breast carcinoma,7.676067665187123,0.0,0.0,0,7.6761
10 x 10^6 cells,Orphanet_404469,Female infertility due to fertilization defect,7.656992889552664,0.0,0.0,0,7.657
10 x 10^6 cells,Orphanet_300570,Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,7.65529957224248,0.0,0.0,0,7.6553
10 x 10^6 cells,Orphanet_139441,Hypomyelination with atrophy of basal ganglia and cerebellum,7.628047848076842,0.0,0.0,0,7.628
10 x 10^6 cells,MONDO_0014337,complex cortical dysplasia with other brain malformations 5,7.571776696119168,0.0,0.0,0,7.5718
10 x 10^6 cells,MONDO_0020738,multiple benign circumferential skin creases on limbs 1,7.571576593247232,0.0,0.0,0,7.5716
10 x 10^6 cells,MONDO_0013541,complex cortical dysplasia with other brain malformations 1,7.492660278398774,0.0,0.0,0,7.4927
10 x 10^6 cells,EFO_0003144,heart failure,7.482053804504583,0.0,0.0,0,7.4821
10 x 10^6 cells,EFO_0001378,multiple myeloma,7.478237025299797,0.0,0.0,0,7.4782
10 x 10^6 cells,Orphanet_98805,"Primary dystonia, DYT4 type",7.448520441375891,0.0,0.0,0,7.4485
10 x 10^6 cells,EFO_0000612,myocardial infarction,7.445081898660403,0.0,0.0,0,7.4451
10 x 10^6 cells,EFO_0000275,atrial fibrillation,7.408988598919742,0.0,0.0,0,7.409
10 x 10^6 cells,EFO_0004274,gout,7.368268023206871,0.0,0.0,0,7.3683
10 x 10^6 cells,Orphanet_171871,Renal pseudohypoaldosteronism type 1,7.352780499791845,0.0,0.0,0,7.3528
10 x 10^6 cells,MONDO_0005301,multiple sclerosis,7.318038889939676,0.0,0.0,0,7.318
10 x 10^6 cells,MONDO_0007493,torsion dystonia 4,7.233008465446657,0.0,0.0,0,7.233
10 x 10^6 cells,EFO_0000183,Hodgkins lymphoma,7.224119021642552,0.0,0.0,0,7.2241
