target_chembl_id,target_component_id,uniprot_accession,xref_src_db,xref_id
CHEMBL1798,89,Q9Y271,AlphaFoldDB,Q9Y271
CHEMBL1798,89,Q9Y271,GoComponent,GO:0005886
CHEMBL1798,89,Q9Y271,GoComponent,GO:0016020
CHEMBL1798,89,Q9Y271,GoFunction,GO:0001631
CHEMBL1798,89,Q9Y271,GoFunction,GO:0004930
CHEMBL1798,89,Q9Y271,GoFunction,GO:0004974
CHEMBL1798,89,Q9Y271,GoFunction,GO:0008528
CHEMBL1798,89,Q9Y271,GoProcess,GO:0002437
CHEMBL1798,89,Q9Y271,GoProcess,GO:0006816
CHEMBL1798,89,Q9Y271,GoProcess,GO:0006935
CHEMBL1798,89,Q9Y271,GoProcess,GO:0007166
CHEMBL1798,89,Q9Y271,GoProcess,GO:0007186
CHEMBL1798,89,Q9Y271,GoProcess,GO:0007204
CHEMBL1798,89,Q9Y271,GoProcess,GO:0007218
CHEMBL1798,89,Q9Y271,GoProcess,GO:0007585
CHEMBL1798,89,Q9Y271,GoProcess,GO:0045766
CHEMBL1798,89,Q9Y271,GoProcess,GO:0045907
CHEMBL1798,89,Q9Y271,GoProcess,GO:0060252
CHEMBL1798,89,Q9Y271,GoProcess,GO:0061737
CHEMBL1798,89,Q9Y271,GoProcess,GO:0071456
CHEMBL1798,89,Q9Y271,HGNC,HGNC:17451
CHEMBL1798,89,Q9Y271,IntAct,Q9Y271
CHEMBL1798,89,Q9Y271,InterPro,IPR000276
CHEMBL1798,89,Q9Y271,InterPro,IPR004071
CHEMBL1798,89,Q9Y271,InterPro,IPR013310
CHEMBL1798,89,Q9Y271,InterPro,IPR017452
CHEMBL1798,89,Q9Y271,PANTHER,PTHR24231
CHEMBL1798,89,Q9Y271,PANTHER,PTHR24231:SF45
CHEMBL1798,89,Q9Y271,PDB,6RZ4
CHEMBL1798,89,Q9Y271,PDB,6RZ5
CHEMBL1798,89,Q9Y271,PDBe,6RZ4
CHEMBL1798,89,Q9Y271,PDBe,6RZ5
CHEMBL1798,89,Q9Y271,Pfam,PF00001
CHEMBL1798,89,Q9Y271,PharmGKB,PA38453
CHEMBL1798,89,Q9Y271,Pharos,Q9Y271
CHEMBL1798,89,Q9Y271,Reactome,R-HSA-391906
CHEMBL1798,89,Q9Y271,Reactome,R-HSA-416476
CHEMBL1798,89,Q9Y271,Reactome,R-HSA-9664535
CHEMBL1798,89,Q9Y271,Reactome,R-HSA-9679191
CHEMBL1798,89,Q9Y271,UniProt,B2R954
CHEMBL1798,89,Q9Y271,UniProt,D3DTE4
CHEMBL1798,89,Q9Y271,UniProt,Q5JS94
CHEMBL1798,89,Q9Y271,UniProt,Q8IV19
CHEMBL1798,89,Q9Y271,UniProt,Q9Y271
CHEMBL1827,124,O76074,AlphaFoldDB,O76074
CHEMBL1827,124,O76074,ExpressionAtlas,O76074
CHEMBL1827,124,O76074,GoComponent,GO:0005829
CHEMBL1827,124,O76074,GoFunction,GO:0004112
CHEMBL1827,124,O76074,GoFunction,GO:0004114
CHEMBL1827,124,O76074,GoFunction,GO:0004115
CHEMBL1827,124,O76074,GoFunction,GO:0004117
CHEMBL1827,124,O76074,GoFunction,GO:0005515
CHEMBL1827,124,O76074,GoFunction,GO:0016787
CHEMBL1827,124,O76074,GoFunction,GO:0030553
CHEMBL1827,124,O76074,GoFunction,GO:0046872
CHEMBL1827,124,O76074,GoFunction,GO:0047555
CHEMBL1827,124,O76074,GoFunction,GO:0048101
CHEMBL1827,124,O76074,GoProcess,GO:0007165
CHEMBL1827,124,O76074,GoProcess,GO:0010613
CHEMBL1827,124,O76074,GoProcess,GO:0010749
CHEMBL1827,124,O76074,GoProcess,GO:0019933
CHEMBL1827,124,O76074,GoProcess,GO:0042098
CHEMBL1827,124,O76074,GoProcess,GO:0042130
CHEMBL1827,124,O76074,GoProcess,GO:0046068
CHEMBL1827,124,O76074,GoProcess,GO:0046069
CHEMBL1827,124,O76074,GoProcess,GO:0048599
CHEMBL1827,124,O76074,GoProcess,GO:0055118
CHEMBL1827,124,O76074,GoProcess,GO:0060282
CHEMBL1827,124,O76074,HGNC,HGNC:8784
CHEMBL1827,124,O76074,IntAct,O76074
CHEMBL1827,124,O76074,InterPro,IPR002073
CHEMBL1827,124,O76074,InterPro,IPR003018
CHEMBL1827,124,O76074,InterPro,IPR003607
CHEMBL1827,124,O76074,InterPro,IPR023088
CHEMBL1827,124,O76074,InterPro,IPR023174
CHEMBL1827,124,O76074,InterPro,IPR029016
CHEMBL1827,124,O76074,InterPro,IPR036971
CHEMBL1827,124,O76074,PANTHER,PTHR11347
CHEMBL1827,124,O76074,PDB,1RKP
CHEMBL1827,124,O76074,PDB,1T9R
CHEMBL1827,124,O76074,PDB,1T9S
CHEMBL1827,124,O76074,PDB,1TBF
CHEMBL1827,124,O76074,PDB,1UDT
CHEMBL1827,124,O76074,PDB,1UDU
CHEMBL1827,124,O76074,PDB,1UHO
CHEMBL1827,124,O76074,PDB,1XOZ
CHEMBL1827,124,O76074,PDB,1XP0
CHEMBL1827,124,O76074,PDB,2CHM
CHEMBL1827,124,O76074,PDB,2H40
CHEMBL1827,124,O76074,PDB,2H42
CHEMBL1827,124,O76074,PDB,2H44
CHEMBL1827,124,O76074,PDB,2XSS
CHEMBL1827,124,O76074,PDB,3B2R
CHEMBL1827,124,O76074,PDB,3BJC
CHEMBL1827,124,O76074,PDB,3HC8
CHEMBL1827,124,O76074,PDB,3HDZ
CHEMBL1827,124,O76074,PDB,3JWQ
CHEMBL1827,124,O76074,PDB,3JWR
CHEMBL1827,124,O76074,PDB,3LFV
CHEMBL1827,124,O76074,PDB,3MF0
CHEMBL1827,124,O76074,PDB,3SHY
CHEMBL1827,124,O76074,PDB,3SHZ
CHEMBL1827,124,O76074,PDB,3SIE
CHEMBL1827,124,O76074,PDB,3TGE
CHEMBL1827,124,O76074,PDB,3TGG
CHEMBL1827,124,O76074,PDB,4G2W
CHEMBL1827,124,O76074,PDB,4G2Y
CHEMBL1827,124,O76074,PDB,4I9Z
CHEMBL1827,124,O76074,PDB,4IA0
CHEMBL1827,124,O76074,PDB,4MD6
CHEMBL1827,124,O76074,PDB,4OEW
CHEMBL1827,124,O76074,PDB,4OEX
CHEMBL1827,124,O76074,PDB,5JO3
CHEMBL1827,124,O76074,PDB,5ZZ2
CHEMBL1827,124,O76074,PDB,6ACB
CHEMBL1827,124,O76074,PDB,6IWI
CHEMBL1827,124,O76074,PDB,6L6E
CHEMBL1827,124,O76074,PDB,6VBI
CHEMBL1827,124,O76074,PDB,7FAQ
CHEMBL1827,124,O76074,PDB,7FAR
CHEMBL1827,124,O76074,PDB,8W4S
CHEMBL1827,124,O76074,PDB,8W4T
CHEMBL1827,124,O76074,PDB,8WKF
CHEMBL1827,124,O76074,PDB,8WKG
CHEMBL1827,124,O76074,PDB,8XWW
CHEMBL1827,124,O76074,PDBe,1RKP
CHEMBL1827,124,O76074,PDBe,1T9R
CHEMBL1827,124,O76074,PDBe,1T9S
CHEMBL1827,124,O76074,PDBe,1TBF
CHEMBL1827,124,O76074,PDBe,1UDT
CHEMBL1827,124,O76074,PDBe,1UDU
CHEMBL1827,124,O76074,PDBe,1UHO
CHEMBL1827,124,O76074,PDBe,1XOZ
CHEMBL1827,124,O76074,PDBe,1XP0
CHEMBL1827,124,O76074,PDBe,2CHM
CHEMBL1827,124,O76074,PDBe,2H40
CHEMBL1827,124,O76074,PDBe,2H42
CHEMBL1827,124,O76074,PDBe,2H44
CHEMBL1827,124,O76074,PDBe,2XSS
CHEMBL1827,124,O76074,PDBe,3B2R
CHEMBL1827,124,O76074,PDBe,3BJC
CHEMBL1827,124,O76074,PDBe,3HC8
CHEMBL1827,124,O76074,PDBe,3HDZ
CHEMBL1827,124,O76074,PDBe,3JWQ
CHEMBL1827,124,O76074,PDBe,3JWR
CHEMBL1827,124,O76074,PDBe,3LFV
CHEMBL1827,124,O76074,PDBe,3MF0
CHEMBL1827,124,O76074,PDBe,3SHY
CHEMBL1827,124,O76074,PDBe,3SHZ
CHEMBL1827,124,O76074,PDBe,3SIE
CHEMBL1827,124,O76074,PDBe,3TGE
CHEMBL1827,124,O76074,PDBe,3TGG
CHEMBL1827,124,O76074,PDBe,4G2W
CHEMBL1827,124,O76074,PDBe,4G2Y
CHEMBL1827,124,O76074,PDBe,4I9Z
CHEMBL1827,124,O76074,PDBe,4IA0
